Features	SHAP importance for Bitter class	SHAP importance for Sweet class	SHAP importance for Other class	SHAP importance for Umami class
ATSC4s	-0.0020667810476974182	0.0011834685587652442	-0.0011484300728135208	0.0020317425617456665
ATSC1m	0.000836290109098881	0.0008065206530310843	-0.0018879576715062072	0.00024514690937621844
ATSC0se	3.017626924016041e-05	-7.643477558789142e-05	-0.0007230159266340722	0.0007692744329817926
ATSC0c	0.0015472654225528097	-0.0006552714792136509	0.00011825507252456974	-0.0010102490158637439
SpDiam_A	0.0023503660663246025	-0.0010933520951663103	-0.0011353281663714335	-0.00012168580478690023
AATSC1pe	-0.0006217418556371811	0.002972824399862527	0.00032574139514650736	-0.0026768239393718633
AATSC2are	-0.00016619961753239204	-0.0005754333994985706	0.0016222885566165503	-0.0008806555395856018
ATSC1p	0.0015271697317859267	-0.0011838806842118584	-0.0013777667516881946	0.0010344777041141088
ATSC1Z	-0.0003084596971363258	-0.001664542516667726	0.0008076608628041694	0.001165341350999876
AATSC2se	-0.0012324290367488099	-2.1076435803797356e-05	-0.0001318871259275985	0.0013853925984802027
AATSC1Z	-0.002177751421586039	-0.0012324032808057343	0.0029743344435109475	0.0004358202588807969
ATSC1se	-0.001287601163353077	0.002457992709908165	-0.0008936629384136294	-0.00027672860814147106
AATS0i	0.0017453788704450649	0.0034433398970042926	-0.003011624117966039	-0.00217709464948336
AATSC0m	0.0008045306574445662	0.000222776481799627	0.0007804312355509995	-0.0018077383747952
ATSC1c	-0.0038432988013957703	-0.00031012301302731863	0.0021352303174314263	0.0020181914969916526
