,SMILES,Parent_SMILES
0,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O
1,CCCCCC(O)C=CC=CCCCCCCCC(=O)O,CCCCCC(O)C=CC=CCCCCCCCC(=O)O
2,NC1(C(=O)O)CCCCC1,NC1(C(=O)O)CCCCC1
3,NC1(C(=O)O)CCCCCCC1,NC1(C(=O)O)CCCCCCC1
4,NC1(C(=O)O)CCCC1,NC1(C(=O)O)CCCC1
5,ON=CC1=CCCCCC1,ON=CC1=CCCCCC1
6,OCCc1c[nH]c2ccccc12,OCCc1c[nH]c2ccccc12
7,CC(C)C(C(=O)O)S(=O)(=O)c1ccc(Br)cc1,CC(C)C(C(=O)O)S(=O)(=O)c1ccc(Br)cc1
8,CCCCCCCCCCC=CC=O,CCCCCCCCCCC=CC=O
9,Cc1ccc(S(=O)(=O)C(C)CC(=O)O)cc1,Cc1ccc(S(=O)(=O)C(C)CC(=O)O)cc1
10,CC(=O)OCCCc1ccccc1,CC(=O)OCCCc1ccccc1
11,CC(C)C(=O)OCCCc1ccccc1,CC(C)C(=O)OCCCc1ccccc1
12,O=C1NS(=O)(=O)c2ccc(Cl)cc12,O=C1NS(=O)(=O)c2ccc(Cl)cc21
13,O=C1NS(=O)(=O)c2cc(Br)ccc12,O=C1NS(=O)(=O)c2cc(Br)ccc21
14,O=C1NS(=O)(=O)c2cc(Cl)ccc12,O=C1NS(=O)(=O)c2cc(Cl)ccc21
15,CC(=O)CCC=C(C)C,CC(=O)CCC=C(C)C
16,O=C1NS(=O)(=O)c2c1cccc2Cl,O=C1NS(=O)(=O)c2c(Cl)cccc21
17,CCCCCC=CC=CC(O)CCCCCCCC(=O)O,CCCCCC=CC=CC(O)CCCCCCCC(=O)O
18,C=CCN=C=S,C=CCN=C=S
19,N#Cc1ccc(NC(=O)NC(CC(=O)O)C2CCCCCCC2)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)C2CCCCCCC2)cc1
20,N#Cc1ccc(NC(=O)NC(CC(=O)O)C2CCCCC2)cc1,N#Cc1ccc(NC(=O)NC(CC(=O)O)C2CCCCC2)cc1
21,N#Cc1ccc(NC(=O)NC2(CC(=O)O)CCCCCC2)cc1,N#Cc1ccc(NC(=O)NC2(CC(=O)O)CCCCCC2)cc1
22,[Ba+2].[Cl-].[Cl-],[Ba+2].[Cl-].[Cl-]
23,O=S(=O)(O)Nc1ccc2nc(S)sc2c1,O=S(=O)(O)Nc1ccc2nc(S)sc2c1
24,CC(=O)OCc1ccccc1,CC(=O)OCc1ccccc1
25,CC(C)C(C(=O)O)S(=O)(=O)c1ccc(Cl)cc1,CC(C)C(C(=O)O)S(=O)(=O)c1ccc(Cl)cc1
26,CCCCNS(=O)(=O)OCC,CCCCNS(=O)(=O)OCC
27,CCCCNS(=O)(=O)OCCC,CCCCNS(=O)(=O)OCCC
28,[Ca+2].[Cl-].[Cl-],[Ca+2].[Cl-].[Cl-]
29,O=S(=O)(O)c1ccc(O)cc1,O=S(=O)(O)c1ccc(O)cc1
30,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1
31,O=COCC=Cc1ccccc1,O=COCC=Cc1ccccc1
32,CC(C)=CCCC(C)=CC=O,CC(C)=CCCC(C)=CC=O
33,CCC(=O)OCCC(C)CCC=C(C)C,CCC(=O)OCCC(C)CCC=C(C)C
34,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1
35,CCCCOS(=O)(=O)NC1CCCCC1,CCCCOS(=O)(=O)NC1CCCCC1
36,O=S(=O)(NC1CCCCC1)OC1CCCCC1,O=S(=O)(NC1CCCCC1)OC1CCCCC1
37,CCOS(=O)(=O)NC1CCCCC1,CCOS(=O)(=O)NC1CCCCC1
38,CC(C)COS(=O)(=O)NC1CCCCC1,CC(C)COS(=O)(=O)NC1CCCCC1
39,CC(C)OS(=O)(=O)NC1CCCCC1,CC(C)OS(=O)(=O)NC1CCCCC1
40,COS(=O)(=O)NC1CCCCC1,COS(=O)(=O)NC1CCCCC1
41,CCCOS(=O)(=O)NC1CCCCC1,CCCOS(=O)(=O)NC1CCCCC1
42,CCC(C)OS(=O)(=O)NC1CCCCC1,CCC(C)OS(=O)(=O)NC1CCCCC1
43,NC(CS)C(=O)O,NC(CS)C(=O)O
44,NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O
45,CCOC(=O)Cc1ccccc1,CCOC(=O)Cc1ccccc1
46,O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1
47,CC(=CCO)CCC1=C(CO)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CCCC12C,CC(=CCO)CCC1=C(CO)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CCCC12C
48,CC(=CCO)CCC1C(C)(O)CC(OC2OCC(O)C(O)C2O)C2C(C)(C)CC(O)CC21C,CC(=CCO)CCC1C(C)(O)CC(OC2OCC(O)C(O)C2O)C2C(C)(C)CC(O)CC21C
