,SMILES,Parent_SMILES
0,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O
1,COC(=O)c1cc(NS(=O)(=O)O)cc(C(=O)OC)c1,COC(=O)c1cc(NS(=O)(=O)O)cc(C(=O)OC)c1
2,C=C1C(=O)OC2C=C(C)C(O)CCC(C)=CC(O)C12,C=C1C(=O)OC2C=C(C)C(O)CCC(C)=CC(O)C12
3,O=C(O)CNC(=Nc1ccccc1)NS(=O)(=O)c1ccccc1,O=C(O)CNC(=Nc1ccccc1)NS(=O)(=O)c1ccccc1
4,O=C1NC(Cc2ccc(O)cc2)C(=O)N2CCCC12,O=C1NC(Cc2ccc(O)cc2)C(=O)N2CCCC12
5,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O
6,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O
7,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
8,C=CCc1ccc(OC)c(OC)c1,C=CCc1ccc(OC)c(OC)c1
9,NCCC[C@H](N)C(=O)O,NCCC[C@H](N)C(=O)O
10,CN(C)C(=O)Oc1ccc[n+](C)c1,CN(C)C(=O)Oc1ccc[n+](C)c1
11,C=C(C)C1CC=C(C)C(OC(C)=O)C1,C=C(C)C1CC=C(C)C(OC(C)=O)C1
12,O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1
13,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3
14,N#Cc1ccc(Br)c(N)c1,N#Cc1ccc(Br)c(N)c1
15,OC[C@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
16,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
17,Cn1nnnc1NC(=Nc1ccc(C#N)cc1)NC1CCCCC1,Cn1nnnc1NC(=Nc1ccc(C#N)cc1)NC1CCCCC1
18,C[C@@H](N)C(=O)O,C[C@@H](N)C(=O)O
19,CC1=CC2C3C4C(=C(C)C3C13C1OC(=O)C(C)C1CCC(C)(O)C23)C1OC(=O)C(C)C1CCC4(C)O,CC1=CC2C3C4C(=C(C)C3C13C1OC(=O)C(C)C1CCC(C)(O)C23)C1OC(=O)C(C)C1CCC4(C)O
